name,flavor,pumps,roast,shots,creamer,sugar,iced
Mocha Masterpiece Latte,Mocha,3,Dark,,False,False,True
Caramel Kiss Latte,Caramel,2,Light,2,False,False,True
Creme de Paris ,French Vanilla,3,,,False,False,False
Dark Roast Treat ,Marshmallow,4,Dark,,True,False,False
Cocoa Infusion ,Mocha,2,,1,True,False,False
Sugar Rush Latte,Caramel,2,,,True,False,False
Spice Bazaar ,Pumpkin Spice,1,Light,,False,True,True
The Chocolate Cure Macchiato,Mocha,4,,2,True,False,True
Liquid Sanity,,,,,True,True,False
Diet Starts Tomorrow,Cookie Dough,1,,,True,False,False
Caramelatte,Caramel,1,Medium,,True,True,False
Classic French ,French Vanilla,3,Light,,False,False,False
Ember Marshmallow ,Marshmallow,2,,1,True,True,True
"Sugar, Spice, and Everything Nice",Pumpkin Spice,5,,,True,True,False
Vanilla Velvet Latte,French Vanilla,3,Dark,,False,False,True
Double Chocolate ,Mocha,1,,,True,False,False
Campfire Glow ,Marshmallow,3,,2,True,False,True
Smooth Vanilla ,French Vanilla,2,Medium,,False,True,False
Coffee Day Dream,,,,1,True,True,True
The Nutcracker ,Hazelnut,4,,,True,False,True
Smoky Cloud ,Marshmallow,2,,,True,True,True
Harvest Cheer ,Pumpkin Spice,6,Light,,False,True,False
Sweet Bonfire Macchiato,Marshmallow,2,Dark,3,False,False,True
Nap in a Cup,,,,,False,True,True
Peppermint Patty ,Peppermint,3,Medium,,True,True,True
Candy Cane Swirl Latte,Peppermint,2,,,True,True,False
Brownie Batter Boost,Mocha,1,Light,,False,False,True
The Nutty Professor Latte,Hazelnut,2,,,False,False,False
Vanilla Creme ,French Vanilla,1,,2,True,False,False
Roasted Nut Latte,Hazelnut,2,Medium,,True,True,True
